# num,v0,st,lt,dev_st,dev_lt,dev,largest_dev,dist,mod
312,3.559070,0.020487,0.017593,0.071475,0.033237,0.071475,st,-0.011596,49
308,3.558850,0.019010,0.018047,0.005778,0.010282,0.010282,lt,-0.011142,49
309,3.560750,0.020096,0.018077,0.051016,0.008671,0.051016,st,-0.011112,49
311,3.559280,0.019306,0.018136,0.009663,0.001495,0.009663,st,-0.011053,49
306,3.552370,0.018834,0.018402,0.015017,0.046513,0.046513,lt,-0.010787,49
307,3.552370,0.018974,0.018639,0.007653,0.034239,0.034239,lt,-0.010550,49
305,3.558640,0.018836,0.018805,0.014874,0.029343,0.029343,lt,-0.010384,49
304,3.560530,0.019277,0.019031,0.008186,0.059781,0.059781,lt,-0.010158,49
302,3.554030,0.019114,0.019171,0.000367,0.007557,0.007557,lt,-0.010018,49
303,3.559280,0.018988,0.019229,0.006962,0.058648,0.058648,lt,-0.009961,49
14,3.494350,0.018265,0.025932,0.044733,0.100909,0.100909,lt,-0.003257,47
18,3.491840,0.017826,0.026163,0.067708,0.105682,0.105682,lt,-0.003026,47
19,3.493520,0.018207,0.026283,0.047792,0.093023,0.093023,lt,-0.002906,47
9,3.494350,0.017682,0.026461,0.075266,0.082578,0.082578,lt,-0.002728,47
11,3.491840,0.017776,0.026528,0.070323,0.093210,0.093210,lt,-0.002661,47
13,3.491210,0.020224,0.026608,0.057682,0.093685,0.093685,lt,-0.002581,47
42,3.493930,0.017814,0.027077,0.068351,0.063449,0.068351,st,-0.002112,47
296,3.493300,0.018565,0.027120,0.029057,0.065310,0.065310,lt,-0.002069,47
26,3.493730,0.018464,0.027163,0.034332,0.061551,0.061551,lt,-0.002026,47
16,3.492890,0.017963,0.027177,0.060533,0.065519,0.065519,lt,-0.002012,47
43,3.494140,0.018050,0.027266,0.055999,0.055798,0.055999,st,-0.001923,45
17,3.492680,0.018013,0.027294,0.057923,0.062598,0.062598,lt,-0.001895,45
298,3.492680,0.020036,0.027351,0.047871,0.060660,0.060660,lt,-0.001838,45
45,3.494350,0.017908,0.027382,0.063447,0.050639,0.063447,st,-0.001807,45
294,3.492050,0.018433,0.027425,0.035988,0.061442,0.061442,lt,-0.001764,45
288,3.492260,0.018537,0.027444,0.030524,0.059694,0.059694,lt,-0.001745,45
10,3.490800,0.019867,0.027491,0.039041,0.065763,0.065763,lt,-0.001698,45
